INDEX,hour,kWh
3.0,3.0,0.9273860577588499
4.0,4.0,7.997576422086848
5.0,5.0,26.897544641710436
6.0,6.0,125.37054819845406
7.0,7.0,303.6270260809957
8.0,8.0,459.180027143573
9.0,9.0,347.1217966790714
10.0,10.0,326.6601401441323
11.0,11.0,243.30039403585184
12.0,12.0,282.9523993241174
13.0,13.0,332.55507118276165
14.0,14.0,442.2943296286532
15.0,15.0,488.83890073143596
16.0,16.0,600.4645766379789
17.0,17.0,772.2581442867101
18.0,18.0,1133.8549655238908
19.0,19.0,1169.7227893459572
20.0,20.0,914.5146408671397
21.0,21.0,823.0919584442953
22.0,22.0,508.43418620746615
23.0,23.0,321.58788897900683
24.0,0.0,210.27463026281225
25.0,1.0,132.84939935057855
26.0,2.0,72.17508298241471
27.0,3.0,59.83733278158116
28.0,4.0,9.40732826140601
29.0,5.0,50.59909751332058
30.0,6.0,191.23302682841546
31.0,7.0,652.5159431361919
32.0,8.0,844.8663381768722
33.0,9.0,922.714450686891
34.0,10.0,791.9305673590159
35.0,11.0,664.4157532607472
36.0,12.0,561.3993135873196
37.0,13.0,544.380912394038
38.0,14.0,613.3172206703
39.0,15.0,800.2337685938518
40.0,16.0,776.8922185381705
41.0,17.0,859.7216252722358
42.0,18.0,843.0271390422495
43.0,19.0,817.9397836733041
44.0,20.0,808.0091770092868
45.0,21.0,550.6371135968451
46.0,22.0,416.0766424692189
47.0,23.0,305.98962235344936
48.0,0.0,154.96611721402226
49.0,1.0,142.70710901950898
50.0,2.0,91.26244018211948
51.0,3.0,55.79133201489538
52.0,4.0,67.04063372022013
53.0,5.0,62.93582409986344
54.0,6.0,232.58395618135523
55.0,7.0,501.05780635195333
56.0,8.0,848.7744605203777
57.0,9.0,1006.5468738918388
58.0,10.0,828.4452194693187
59.0,11.0,640.1423809654907
60.0,12.0,639.2117177384765
61.0,13.0,716.5143650755354
62.0,14.0,762.7187636704434
63.0,15.0,653.0427203165502
64.0,16.0,710.940253583701
65.0,17.0,947.5099671766626
66.0,18.0,1017.0057643715112
67.0,19.0,1055.945579372525
68.0,20.0,834.0127082663405
69.0,21.0,602.2031695294148
70.0,22.0,403.13695507303134
71.0,23.0,321.6739293926013
72.0,0.0,216.42478747899696
73.0,1.0,159.61744255277245
74.0,2.0,124.32018388357622
75.0,3.0,69.92466306257916
76.0,4.0,56.02341701005748
77.0,5.0,59.49622947232518
78.0,6.0,127.14412518318501
79.0,7.0,512.4125369016301
80.0,8.0,705.4219751896837
81.0,9.0,886.4845988641374
82.0,10.0,932.0629540688661
83.0,11.0,784.9876032154249
84.0,12.0,761.7436836630972
85.0,13.0,862.5946677793225
86.0,14.0,786.0396680069887
87.0,15.0,897.4456946338338
88.0,16.0,874.2706501174516
89.0,17.0,909.6491975833184
90.0,18.0,801.6704278849818
91.0,19.0,882.1173447067924
92.0,20.0,827.7286058956627
93.0,21.0,573.4489063009319
94.0,22.0,457.93766186562766
95.0,23.0,237.9257979350945
96.0,0.0,194.37041014001008
97.0,1.0,56.87298185068322
98.0,2.0,40.41937818684709
99.0,3.0,43.72708712916614
100.0,4.0,37.58780379586216
101.0,5.0,59.98183616635713
102.0,6.0,166.3892471182765
103.0,7.0,435.3733170890307
104.0,8.0,813.5545772493984
105.0,9.0,789.1470882643919
106.0,10.0,823.9408382102998
107.0,11.0,810.3016878867447
108.0,12.0,862.727245494703
109.0,13.0,803.3096206893807
110.0,14.0,773.0662178881205
111.0,15.0,646.6326783799233
112.0,16.0,747.8231091043579
113.0,17.0,837.008171825424
114.0,18.0,823.9273820976035
115.0,19.0,865.5682478561906
116.0,20.0,736.3006961536067
117.0,21.0,555.1319283835222
118.0,22.0,414.6043154322168
119.0,23.0,296.10557790249504
120.0,0.0,175.11875157818977
121.0,1.0,87.6398908571118
122.0,2.0,52.36503874097946
123.0,3.0,28.612623381956517
124.0,4.0,14.850977196441859
125.0,5.0,54.98291468871035
126.0,6.0,222.64608439001435
127.0,7.0,514.0259305787547
128.0,8.0,820.4681916681416
129.0,9.0,786.877675664406
130.0,10.0,657.0483360605384
131.0,11.0,651.6793990596373
132.0,12.0,779.6070331311922
133.0,13.0,597.1528458208652
134.0,14.0,739.2277419483391
135.0,15.0,730.8981349254927
136.0,16.0,722.7460361101485
137.0,17.0,901.6038123136783
138.0,18.0,1069.3133045034112
139.0,19.0,937.0359366708935
140.0,20.0,750.0761302143088
141.0,21.0,605.6158396954784
142.0,22.0,389.6044141405024
143.0,23.0,257.6593008362906
144.0,0.0,143.20486356914347
145.0,1.0,78.55860910170381
146.0,2.0,49.729650452296205
147.0,3.0,9.505469879102652
148.0,4.0,12.6042231236972
149.0,5.0,49.84707589361438
150.0,6.0,234.40275484307915
151.0,7.0,575.2192542716459
152.0,8.0,755.4246373648765
153.0,9.0,957.9944346625665
154.0,10.0,744.6429657155534
155.0,11.0,673.3905971695693
156.0,12.0,593.8081593530135
157.0,13.0,717.8550424708061
158.0,14.0,868.3160486859783
159.0,15.0,862.1844865734143
160.0,16.0,1066.6037091337498
161.0,17.0,1387.1086251956176
162.0,18.0,1670.2430420658752
163.0,19.0,1710.9036404676478
164.0,20.0,1614.9843708402932
165.0,21.0,1266.0733229084183
166.0,22.0,804.5354836512928
167.0,23.0,444.3830294080407
168.0,0.0,240.92311707252136
169.0,1.0,100.99674115335483
170.0,2.0,50.39487710138216
171.0,3.0,27.534359908875405
172.0,4.0,19.341567397117075
